x0,x1,x2,x3,y,x4,x5
A4,28.0,A6,A31,0.15,0.01,0.0
A5,33.0,A6,A7,0.11,0.25,0.01
A2,27.0,A8,A15,0.0,0.01,0.0
A13,28.0,A6,A24,0.09,0.01,0.0
A12,17.0,A5,A81,0.93,0.12,1.34
A1,33.0,A7,A77,0.0,0.0,0.02
A6,25.0,A6,A7,0.08,0.02,0.0
A4,31.0,A8,A94,0.06,0.02,0.0
A11,27.0,A5,A85,0.0,0.02,0.0
A3,27.0,A5,A1,0.0,0.0,0.17
A9,34.0,A6,A7,1.07,0.15,0.0
A3,23.0,A4,A15,0.03,0.02,0.0
,15.0,A4,A95,0.0,0.0,0.03
A13,26.0,A11,A15,0.06,0.01,0.0
A13,31.0,A4,A71,0.0,0.07,0.0
A9,29.0,A3,A61,0.11,0.01,0.03
A6,24.0,A8,A96,0.03,0.01,0.0
A12,17.0,A7,A10,0.39,0.26,0.12
A0,,A1,A35,0.13,0.05,0.0
A10,18.0,A3,A5,0.03,0.01,0.0
A2,28.0,A4,A57,0.0,0.03,0.0
A6,24.0,A6,A7,0.36,0.11,0.0
A13,26.0,A6,A34,41.49,29.02,3.77
A13,29.0,A8,A34,0.47,0.22,0.12
A14,34.0,A6,A97,0.58,0.0,0.0
A0,22.0,A6,A98,0.07,0.02,0.0
,24.0,A6,A24,1.25,0.86,0.01
A3,25.0,A4,A99,0.03,0.02,0.0
,20.0,A2,A100,0.17,0.12,0.0
,29.0,A11,A91,0.0,0.0,0.02
,25.0,A5,A34,0.0,0.0,0.11
A4,33.0,A9,A65,0.08,0.17,0.0
A4,27.0,A8,A1,0.0,0.0,0.08
A11,33.0,A0,A101,0.0,0.01,0.0
A13,29.0,A7,A15,0.13,0.13,0.0
A18,33.0,A2,A11,0.1,0.0,0.0
A10,19.0,A11,A24,0.13,0.03,0.0
A7,11.0,A8,A34,0.93,0.27,0.75
A2,29.0,A7,A102,0.07,0.11,0.0
A2,31.0,A4,A37,0.07,0.03,0.0
A3,23.0,A8,A103,0.07,0.06,0.16
A5,34.0,A7,A13,0.0,0.0,0.01
A13,31.0,A5,A34,0.13,0.1,0.08
A2,26.0,A10,A57,0.01,0.01,0.0
A9,31.0,A7,A18,0.67,0.37,0.13
A3,22.0,A6,A7,0.32,0.25,0.0
A2,25.0,A8,A75,0.3,0.0,0.0
A2,27.0,A8,A8,0.13,0.04,0.0
A2,31.0,A9,A14,0.1,0.03,0.0
A2,30.0,A7,A104,0.0,0.07,0.0
A11,,A3,A10,0.07,0.04,0.0
A4,34.0,A5,A4,0.25,0.19,0.01
A4,30.0,A5,A39,0.23,0.13,0.0
A2,28.0,A6,A105,0.04,0.02,0.0
A13,28.0,A4,A80,0.17,0.05,0.0
A21,6.0,A0,A5,0.54,0.06,0.62
A4,26.0,A0,A15,0.1,0.0,0.0
A14,34.0,A11,A17,0.47,0.8,0.03
A3,22.0,A11,A95,0.05,0.04,0.0
A1,,A6,A35,0.03,0.0,0.0
A6,25.0,A1,A12,0.1,0.03,0.0
A2,30.0,A4,A31,0.16,0.05,0.0
A4,27.0,A5,A43,0.19,0.04,0.08
A3,22.0,A4,A106,0.0,0.0,0.01
A12,18.0,A10,A30,0.0,0.0,0.09
A1,27.0,A2,A39,0.07,0.0,0.0
A13,32.0,A1,A34,0.0,0.0,0.1
A2,26.0,A4,A1,0.0,0.0,0.02
A10,20.0,A1,A7,1.13,0.38,0.02
A0,24.0,A0,A96,0.05,0.02,0.0
A5,33.0,A7,A107,0.03,0.0,0.01
A8,32.0,A1,A5,0.15,0.11,0.1
A2,27.0,A2,A25,0.13,0.0,0.01
A5,35.0,A4,A108,0.0,0.0,0.07
A1,32.0,A1,A109,0.0,0.0,0.01
A1,30.0,A4,A19,0.0,0.0,0.02
A4,30.0,A9,A8,0.32,0.23,0.0
A11,31.0,A1,A24,0.05,0.03,0.0
A4,30.0,A4,A35,0.11,0.0,0.0
A0,24.0,A1,A12,0.36,0.13,0.0
A3,27.0,A10,A1,0.0,0.0,0.38
,31.0,A2,A34,0.32,0.95,0.36
A20,16.0,A9,A39,0.0,0.0,0.11
A13,32.0,A1,A24,0.0,0.01,0.0
A4,31.0,A4,A24,0.87,0.0,0.0
A15,25.0,A4,A63,0.04,0.01,0.0
A2,28.0,A8,A77,0.0,0.0,0.03
A4,29.0,A10,A4,1.53,0.82,0.04
,24.0,A10,A12,0.01,0.03,0.0
A9,27.0,A1,A12,0.13,0.15,0.0
A3,24.0,A9,A12,0.29,0.23,0.0
A1,29.0,A5,A110,0.14,0.0,0.08
A22,33.0,A9,A7,0.45,0.17,0.0
A16,9.0,A2,A34,2.18,0.96,2.0
A12,20.0,A0,A15,0.16,0.11,0.0
A3,24.0,A9,A33,1.0,0.04,0.0
A4,29.0,A4,A8,0.09,0.0,0.0
A12,16.0,A3,A92,0.07,0.05,0.15
A12,19.0,A9,A111,0.0,0.0,0.15
A11,27.0,A11,A68,0.01,0.0,0.0
A11,28.0,A1,A24,0.0,0.02,0.0
A3,22.0,A6,A112,0.0,0.0,0.06
A3,26.0,A4,A24,0.02,0.01,0.0
A5,34.0,A7,A113,0.0,0.0,0.02
A11,33.0,A8,A114,0.0,0.08,0.0
A6,25.0,A4,A63,0.03,0.01,0.0
A11,32.0,A10,A88,0.0,0.02,0.0
A3,23.0,A11,A54,0.11,0.09,0.0
A8,32.0,A1,A29,0.88,0.26,0.34
A3,26.0,A5,A22,0.09,0.07,0.15
A3,24.0,A4,A39,0.08,0.06,0.0
A13,29.0,A2,A7,0.34,0.09,0.0
A16,,A0,A34,0.68,0.31,0.0
A8,36.0,A1,A48,0.0,0.0,0.2
A21,5.0,A6,A34,0.18,0.23,1.53
A3,27.0,A7,A115,0.0,0.0,0.01
A2,27.0,A4,A37,0.54,0.0,0.0
A2,29.0,A7,A99,0.04,0.0,0.0
A5,34.0,A5,A18,0.0,0.02,0.0
A15,23.0,A9,A21,0.03,0.01,0.0
A12,20.0,A4,A116,0.0,0.0,0.49
A22,35.0,A1,A10,0.07,0.02,0.0
A3,21.0,A11,A5,0.09,0.07,0.0
A9,36.0,A5,A29,0.0,0.0,0.04
A0,25.0,A1,A117,0.03,0.01,0.0
A3,29.0,A4,A14,0.0,7.94695737022863,0.06
,27.0,A6,A31,0.13,0.0,0.0
A2,28.0,A4,A46,0.0,0.2,0.0
A14,35.0,A11,A18,0.61,0.78,0.06
A1,28.0,A10,A1,0.0,0.0,0.16
,22.0,A3,A24,0.23,0.18,0.0
A0,24.0,A2,A34,0.31,0.11,0.13
A2,27.0,A4,A34,0.87,1.57,1.05
A5,32.0,A5,A110,0.0,0.0,0.07
A9,32.0,A6,A5,0.0,0.0,0.19
A13,,A8,A102,0.02,0.0,0.0
A4,28.0,A4,A7,0.34,0.2,0.0
A12,16.0,A11,A118,0.85,0.58,0.0
A2,30.0,A7,A33,0.01,0.15,0.0
A6,25.0,A1,A12,0.06,0.02,0.0
A15,23.0,A3,A1,0.0,0.0,0.2
A1,27.0,A6,A31,0.1,0.0,0.0
A10,19.0,A3,A119,0.23,0.06,0.0
A2,25.0,A1,A68,0.12,0.01,0.0
A9,28.0,A9,A65,0.31,0.57,0.03
A4,29.0,A11,A65,0.06,0.01,0.0
A3,25.0,A4,A1,0.0,0.0,0.02
A9,36.0,A1,A29,0.0,0.0,0.13
A0,22.0,A11,A120,0.07,0.03,0.0
A3,24.0,A11,A31,0.71,0.55,0.0
A3,27.0,A11,A7,0.0,0.0,0.03
A5,32.0,A7,A121,0.0,0.0,0.1
A5,33.0,A1,A11,0.2,0.2,0.0
A7,15.0,A4,A58,0.0,0.0,0.47
A1,28.0,A0,A68,0.11,0.22,0.0
A11,32.0,A6,A5,0.0,0.07,0.0
A12,19.0,A6,A15,0.07,0.05,0.0
A3,21.0,A9,A18,0.13,0.1,0.0
A5,34.0,A5,A122,0.07,0.03,0.05
A9,31.0,A5,A17,2.55,2.71,0.25
A2,28.0,A6,A43,0.12,0.0,0.0
A3,26.0,A5,A123,0.0,0.0,0.18
A14,35.0,A9,A7,0.49,1.49,0.05
A1,25.0,A1,A15,0.16,0.01,0.0
